 ,X,Y
998,12.714,282.786
999,170.934,286.123
1000,542.000,282.500
1001,633.000,283.000
1002,128.250,285.250
1003,84.714,285.643
1004,116.636,286.409
1005,141.316,285.658
1006,545.667,285.167
1007,5.000,285.500
1008,512.000,287.375
1009,529.000,285.500
1010,74.000,287.000
1011,160.850,291.725
1012,95.000,287.500
1013,636.000,287.500
1014,44.000,288.500
1015,126.333,288.833
1016,133.800,289.700
1017,461.000,288.500
1018,467.000,288.500
1019,529.000,288.500
1020,561.000,288.500
1021,603.000,288.500
1022,609.000,288.500
1023,119.000,292.000
1024,146.391,294.587
1025,622.000,290.500
1026,88.000,292.000
1027,512.185,295.574
1028,565.857,294.214
1029,608.500,293.750
1030,126.333,295.167
1031,81.000,295.500
1032,95.000,295.500
1033,189.000,295.500
1034,529.000,295.500
1035,542.000,295.500
1036,623.000,295.500
1037,33.000,298.000
1038,49.000,296.500
1039,59.000,297.700
1040,87.364,297.591
1041,113.000,296.500
1042,174.200,297.700
1043,145.000,297.500
1044,70.000,299.500
1045,109.500,298.750
1046,587.000,298.500
1047,521.000,300.000
1048,485.000,302.000
1049,577.000,301.500
1050,97.000,301.500
1051,506.000,305.667
1052,65.000,303.250
1053,526.333,303.167
1054,55.000,303.500
1055,79.000,304.500
1056,136.000,303.500
1057,517.375,307.438
1058,1.500,305.500
1059,14.000,304.500
1060,98.500,304.750
1061,112.000,306.000
1062,538.000,305.000
1063,609.500,304.500
1064,146.600,310.150
1065,555.000,306.000
1066,119.929,307.786
1067,125.000,307.000
1068,501.000,307.000
1069,65.000,307.500
1070,164.778,309.611
1071,497.000,309.500
1072,546.750,309.625
1073,99.000,310.167
1074,115.000,309.500
1075,125.167,311.750
1076,612.000,309.500
1077,1.571,312.071
1078,534.000,311.000
1079,11.545,314.773
1080,39.000,311.500
1081,48.000,312.000
1082,111.800,312.500
1083,153.000,311.500
1084,476.429,312.643
1085,501.000,311.500
1086,511.000,311.500
1087,558.000,311.500
1088,623.000,311.500
1089,134.000,312.500
1090,529.400,314.300
